URL,Class
training data,president-nod-for-lokpal-bill,India
,india-scraps-vvip-chopper-deal-with-agustawestland,India
,maldives-president-coming-today,Others
,mdmk-to-be-part-of-bjp-led-nda,India
,ex-envoy-hardeep-puri-joins-bjp,India
,modi-to-address-rally-in-panaji,India
,church-not-against-modi-bishop,India
,aap-government-wins-confidence-vote,India
,seemandhra-bandh-hits-ap-tn,India
,ramdev-offers-conditional-support-to-modi,India
,aap-retains-jhaadu-as-its-symbol,India
,violence-mars-poll-in-bangladesh,Bangladesh
,modi-accepts-ramdevs-terms-for-support,India
,bhutan-king-arrives-on-5-day-visit,Others
,sheikh-hasina-set-to-form-govt-again,Bangladesh
,four-killed-in-postpoll-violence-in-bangladesh,Bangladesh
test data,sheikh-hasina-keeps-home-foreign-affairs-defence-portfolios,?
,hasina-ready-to-protect-democracy,?
,agusta-gets-stay-on-india-encashing-bank-guarantee,?
,modi-nervous-over-aaps-emergence-congress,?
,united-ap-supporters-burn-copies-of-draft-tbill,?
,seemandhra-mps-ignore-aicc-team,?
,sena-slams-devyanis-father-for-terming-media-casteist,?
,evangelist-benny-hinns-bangalore-visit-cancelled,?
,mallika-sarabhai-joins-aap,?
,devyani-khobragade-leaves-for-india-mea,?
,deeply-regret-that-india-expelled-our-diplomat-us,?
,milkha-singhs-wife-daughter-join-aap,?
,baba-ramdev-to-begin-vote-for-modi-yatra,?
,bjp-launches-drive-for-donations-to-modi-for-pm-fund,?
